WellID,BVHH,FormationAlias,NioGOR,CodGOR,LateralLength,ProppantPerFoot,FluidPerFoot,LeftDistance,LeftNeighbourType,RightDistance,RightNeighbourType,TVD,NormalizedOilEUR,NormalizedGasEUR
0512335148,0.758148438,CODELL,4673.342538,4970.426339,4705,785.1222104,657.1549416,1862,Codeveloped,,NoNeighbour,7487,16.60977683,92.98427205
0512335149,1.641377487,NIOBRARA,4821.220925,3597.843293,4742,0,0.227962885,1007,Codeveloped,2675,Codeveloped,6990,22.59236609,139.5261493
0512335151,1.611561979,NIOBRARA,4599.003305,4758.679458,4271,,,694,Codeveloped,522,Codeveloped,7385,18.41278389,112.6715055
0512335153,1.840468878,NIOBRARA,4914.684989,3535.161342,8938,,,693,Codeveloped,414,Codeveloped,6904,12.79671067,112.2294697
0512335154,1.52947513,NIOBRARA,4568.474733,4923.912412,4204,,,433,Codeveloped,,NoNeighbour,7319,17.30280685,96.5152236
0512335156,1.882774346,NIOBRARA,4234.111866,4773.640433,5125,0,0.001170732,680,Codeveloped,540,Codeveloped,7304,28.28195122,132.2827317
0512335157,1.902971875,NIOBRARA,4118.715519,4786.594525,5187,812.4156545,712.1150954,4012,Codeveloped,680,Codeveloped,7237,18.50915751,89.05398111
0512335158,1.747664433,NIOBRARA,5241.504525,3610.729499,9084,627.6970498,680.8124174,2675,Codeveloped,525,Codeveloped,6949,12.29161162,75.47886394
0512335161,1.794332813,NIOBRARA,5089.750319,3565.203094,9116,,,525,Codeveloped,693,Codeveloped,6903,15.1784774,105.1431549
0512335163,1.8412015,NIOBRARA,4356.582792,4766.353251,4920,0,0.002439024,540,Codeveloped,783,Codeveloped,7316,28.31849593,126.8443089
0512335165,0.479621875,CODELL,5004.618761,3548.221108,9136,551.4448336,646.0304291,4487,Codeveloped,,NoNeighbour,7176,14.26214974,80.67042469
0512335166,1.565082292,NIOBRARA,4665.395522,4875.089682,4031,,,522,Codeveloped,433,Codeveloped,7274,15.4083354,134.1438849
0512335168,0.824295455,CODELL,2119.793546,1875.292192,4260,754.9295775,579.915493,,NoNeighbour,,NoNeighbour,7357,28.77910798,95.82323944
0512335169,1.135902646,NIOBRARA,2714.980125,3169.80415,4176,1508.62069,706.5373563,2562,Parent,314,Codeveloped,7240,15.66714559,63.17121648
0512335170,1.313944615,CODELL,2584.687233,3564.665013,9513,967.3078945,621.3375381,1005,Parent,2536,Parent,7321,11.11910018,93.28802691
0512335177,1.457007407,NIOBRARA,4288.858958,6196.658957,3746,882.5413775,721.9492792,,NoNeighbour,,NoNeighbour,7096,33.94447411,182.3801388
0512335180,1.682773684,NIOBRARA,4117.359577,5113.252349,4213,419.6534536,812.3090434,633,Codeveloped,537,Codeveloped,7191,25.72086399,120.1704249
0512335181,0.922807813,CODELL,4104.250969,5126.524631,4210,456.0570071,752.8475059,2490,Codeveloped,1911,Codeveloped,7380,18.96840855,126.6714964
0512335182,1.677172917,NIOBRARA,4114.986547,5158.508773,4278,803.6465638,712.6058906,534,Codeveloped,651,Codeveloped,7200,23.58111267,126.4555867
0512335183,1.659775393,NIOBRARA,4131.345947,5194.170212,4206,838.3262007,723.5863053,614,Codeveloped,534,Codeveloped,7190,22.88825487,100.2736567
0512335184,1.6858375,NIOBRARA,4074.050037,5135.34009,4203,463.4784678,748.4154176,651,Codeveloped,633,Codeveloped,7174,30.41589341,138.0178444
0512335201,0.773778462,CODELL,4414.554156,4666.067202,4019,433.4411545,716.4349341,1836,Codeveloped,1862,Codeveloped,7491,22.40258771,115.2955959
